Benthem;5761–5761;Gemert-Bakel;Noord-Brabant;
Benthuizen;2730–2731;Alphen aan den Rijn;Zuid-Holland;
Bentveld;2116–2116;Zandvoort;Noord-Holland;
Benzenrade;6419–6419;Heerlen;Limburg;
Berenbroek;5707–5707;Helmond;Noord-Brabant;
Berg;6028–6028;Cranendonck;Noord-Brabant;
Berg;6267–6267;Eijsden-Margraten;Limburg;
Berg;5768–5768;Peel en Maas;Limburg;
Berg (?);6325–6325;Valkenburg aan de Geul;Limburg;
Berg aan de Maas / Berg (?);6129–6129;Stein;Limburg;
Berg en Dal;6570–6571;Groesbeek;Gelderland;
Berg en Dal;6572–6572;Groesbeek;Gelderland;
Bergakker;4013–4013;Tiel;Gelderland;
Bergambacht;2860–2861;Krimpenerwaard;Zuid-Holland;
Bergen;1860–1862;Bergen;Noord-Holland;
Bergen;5854–5854;Bergen;Limburg;
Bergen aan Zee;1865–1865;Bergen;Noord-Holland;
Bergen op Zoom;4600–4625;Bergen op Zoom;Noord-Brabant;
Bergenhuizen;6255–6255;Eijsden-Margraten;Limburg;
Bergenshuizen;5262–5262;Vught;Noord-Brabant;
Bergentheim;7690–7691;Hardenberg;Overijssel;
Bergerden;6681–6681;Lingewaard;Gelderland;
Bergharen;6617–6617;Wijchen;Gelderland;
Berghem;6271–6271;Gulpen-Wittem;Limburg;
Berghem;5350–5351;Oss;Noord-Brabant;
Berghuizen;7961–7961;De Wolden;Drenthe;
Berghuizen;6627–6627;West Maas en Waal;Gelderland;
Berghum;7591–7591;Dinkelland;Overijssel;
Bergsche Heide;5854–5854;Bergen;Limburg;
Bergschenhoek;2661–2662;Lansingerland;Zuid-Holland;
Bergstoep;2861–2861;Krimpenerwaard;Zuid-Holland;
Berik;6082–6082;Leudal;Limburg;
Beringe;5986–5986;Peel en Maas;Limburg;
Berkeind;5032–5032;Tilburg;Noord-Brabant;
Berkeindje;5715–5715;Someren;Noord-Brabant;
Berkel en Rodenrijs;2651–2652;Lansingerland;Zuid-Holland;
Berkelaar;6101–6101;Echt-Susteren;Limburg;
Berkel-Enschot;5056–5056;Tilburg;Noord-Brabant;
Berkenwoude;2825–2825;Krimpenerwaard;Zuid-Holland;
Berkhoek;5427–5427;Boekel;Noord-Brabant;
Berkhoek;5071–5071;Tilburg;Noord-Brabant;
Berkhout;1647–1647;Koggenland;Noord-Holland;
Berkt;5384–5384;Bernheze;Noord-Brabant;
Berkt;5508–5508;Veldhoven;Noord-Brabant;
Berlicum;5258–5258;Sint-Michielsgestel;Noord-Brabant;
Berlikum;9040–9041;Menameradiel;Fryslân;
Bern;5318–5318;Zaltbommel;Gelderland;
Besselaar;5294–5294;Sint-Michielsgestel;Noord-Brabant;
Best;5680–5684;Best;Noord-Brabant;
Besthmen;7731–7731;Ommen;Overijssel;
Beswerd;9891–9891;Winsum;Groningen;
Bethlehem;9998–9998;Eemsmond;Groningen;
Betterwird;9101–9101;Dongeradeel;Fryslân;
Beugen;5835–5835;Boxmeer;Noord-Brabant;
Beugt;5473–5473;Bernheze;Noord-Brabant;
Beukelaar;5463–5463;Veghel;Noord-Brabant;
Beuningen;6640–6642;Beuningen;Gelderland;
Beuningen;7588–7588;Losser;Overijssel;
Beusbergen;7475–7475;Hof van Twente;Overijssel;
Beuseberg;7451–7451;Rijssen-Holten;Overijssel;
Beusichem;4112–4112;Buren;Gelderland;
Beutenaken;6278–6278;Gulpen-Wittem;Limburg;
Bevermeer;6986–6986;Zevenaar;Gelderland;
Beverwijk;1940–1948;Beverwijk;Noord-Holland;
Biddinghuizen;8256–8256;Dronten;Flevoland;
Biert;3212–3212;Nissewaard;Zuid-Holland;
Bierum;9906–9906;Delfzijl;Groningen;
Biervliet;4521–4522;Terneuzen;Zeeland;
Biesstraat;6093–6093;Leudal;Limburg;
Biessum;9931–9931;Delfzijl;Groningen;
Biesthoek;5408–5408;Uden;Noord-Brabant;
Biestraat;5126–5126;Gilze en Rijen;Noord-Brabant;
Biezelinge;4421–4421;Kapelle;Zeeland;
Biezen;4529–4529;Sluis;Zeeland;
Biezenheuvel;5528–5528;Bladel;Noord-Brabant;
Biezenmortel;5074–5074;Haaren;Noord-Brabant;
Biggekerke;4373–4373;Veere;Zeeland;
Bijsteren;3882–3882;Putten;Gelderland;
Bijsterveld;5513–5513;Eersel;Noord-Brabant;
Bikkershorn;9678–9678;Oldambt;Groningen;
Bilderdam;2451–2451;Kaag en Braassem;Zuid-Holland;
Billinghuizen;6271–6271;Gulpen-Wittem;Limburg;
Bilt;6107–6107;Maasgouw;Limburg;
Bilthoven;3720–3723;De Bilt;Utrecht;
Bingelrade;6456–6456;Onderbanken;Limburg;
Bingerden;6986–6986;Zevenaar;Gelderland;
Binnen-Moerdijk;4766–4766;Drimmelen;Noord-Brabant;
Bisschopswetering;8293–8293;Kampen;Overijssel;
Bisselt;6585–6585;Mook en Middelaar;Limburg;
Bissen;6281–6281;Gulpen-Wittem;Limburg;
Blaaksedijk;3271–3274;Binnenmaas;Zuid-Holland;
Bladel;5530–5531;Bladel;Noord-Brabant;
Blaker;2678–2678;Westland;Zuid-Holland;
Blankenberg;6611–6611;Heumen;Gelderland;
Blankenham;8373–8373;Steenwijkerland;Overijssel;
Blaricum;1260–1261;Blaricum;Noord-Holland;
Blauhûs;8615–8615;Súdwest-Fryslân;Fryslân;
Blauw;9354–9354;Leek;Groningen;
Blauwe Hand;7946–7946;Steenwijkerland;Overijssel;
Blauwe Sluis;4766–4766;Drimmelen;Noord-Brabant;
Blauwe Sluis;4651–4651;Steenbergen;Noord-Brabant;
